Row,NumGoodAlgos
arch0.dat-s,1
arch2.dat-s,2
arch4.dat-s,2
arch8.dat-s,2
control1.dat-s,1
control10.dat-s,1
control11.dat-s,1
control2.dat-s,1
control3.dat-s,1
control4.dat-s,1
control5.dat-s,1
control6.dat-s,1
control7.dat-s,1
control8.dat-s,1
control9.dat-s,1
equalG11.dat-s,1
equalG51.dat-s,1
gpp100.dat-s,1
gpp124-1.dat-s,1
gpp124-2.dat-s,1
gpp124-3.dat-s,1
gpp124-4.dat-s,1
gpp250-1.dat-s,1
gpp250-2.dat-s,1
gpp250-3.dat-s,1
gpp250-4.dat-s,1
gpp500-1.dat-s,1
gpp500-2.dat-s,1
gpp500-3.dat-s,1
gpp500-4.dat-s,1
hinf1.dat-s,1
hinf10.dat-s,1
hinf11.dat-s,1
hinf12.dat-s,1
hinf13.dat-s,1
hinf14.dat-s,1
hinf15.dat-s,1
hinf2.dat-s,1
hinf3.dat-s,1
hinf4.dat-s,1
hinf5.dat-s,1
hinf6.dat-s,1
hinf7.dat-s,1
hinf8.dat-s,1
hinf9.dat-s,1
maxG11.dat-s,1
maxG32.dat-s,1
maxG51.dat-s,1
maxG55.dat-s,1
maxG60.dat-s,1
mcp100.dat-s,2
mcp124-1.dat-s,2
mcp124-2.dat-s,1
mcp124-3.dat-s,1
mcp124-4.dat-s,1
mcp250-1.dat-s,1
mcp250-2.dat-s,1
mcp250-3.dat-s,1
mcp250-4.dat-s,1
mcp500-1.dat-s,1
mcp500-2.dat-s,1
mcp500-3.dat-s,1
mcp500-4.dat-s,1
qap10.dat-s,1
qap5.dat-s,1
qap6.dat-s,1
qap7.dat-s,1
qap8.dat-s,1
qap9.dat-s,1
qpG11.dat-s,1
qpG51.dat-s,1
ss30.dat-s,2
theta1.dat-s,1
theta2.dat-s,1
theta3.dat-s,1
theta4.dat-s,1
theta5.dat-s,1
theta6.dat-s,1
thetaG11.dat-s,1
thetaG51.dat-s,1
truss1.dat-s,1
truss2.dat-s,2
truss3.dat-s,1
truss4.dat-s,1
truss5.dat-s,1
truss6.dat-s,2
truss7.dat-s,1
truss8.dat-s,2
