Row,Avg_Perf_all_instances,Std_Perf_all_instances,Probability_of_good,Avg_Perf_selected_instances,Std_Perf_selected_instances,CV_model_accuracy,CV_model_precision,CV_model_recall,NumNeighbours,Distance
NB,0.173,0.129,0.608,0.102,0.088,86.3,89.1,88.4,8,1
LDA,0.214,0.212,0.604,0.12,0.135,86.3,87.2,90.6,8,8
QDA,0.381,0.28,0.354,0.18,0.178,81.1,74,72,11,5
CART,0.136,0.117,0.712,0.077,0.065,93.4,96,94.7,7,5
J48,0.127,0.118,0.726,0.071,0.071,92.9,95.4,94.8,5,5
KNN,0.134,0.118,0.726,0.081,0.07,89.2,91.7,93.5,16,5
L_SVM,0.136,0.128,0.712,0.072,0.065,93.4,96,94.7,6,10
poly_SVM,0.197,0.145,0.528,0.111,0.108,88.2,85.4,93.8,21,9
RBF_SVM,0.135,0.127,0.708,0.07,0.057,94.3,96.6,95.3,7,8
RandF,0.16,0.201,0.684,0.092,0.165,90.6,93.1,93.1,4,5
Oracle,0.095,0.097,1,,,,,,,
Selector,0.127,0.111,0.755,0.085,0.072,,92.9,48.1,,
